user,classification
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,47_covid_covid 19_19_tweets
AdedePaor,90_emoji_emojis_sentiment_message
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,47_covid_covid 19_19_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,64_political_media_news_bias
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,78_geographic_location_geolocation_geo
AdedePaor,64_political_media_news_bias
AdedePaor,90_emoji_emojis_sentiment_message
AdedePaor,90_emoji_emojis_sentiment_message
AdedePaor,75_visual_dialogue_multimodal_image
AdedePaor,9_hate_hate speech_offensive_speech
AdedePaor,9_hate_hate speech_offensive_speech
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,78_geographic_location_geolocation_geo
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,64_political_media_news_bias
AdedePaor,0_dialogue_dialog_response_responses
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,47_covid_covid 19_19_tweets
AdedePaor,64_political_media_news_bias
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,6_clinical_medical_biomedical_notes
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,47_covid_covid 19_19_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,81_crisis_disaster_traffic_tweets
AdedePaor,47_covid_covid 19_19_tweets
KiddMarine,44_code_programming_source code_code generation
KiddMarine,72_sign_gloss_language_signed
KiddMarine,49_poetry_poems_lyrics_poem
KiddMarine,37_style_style transfer_transfer_text style
KiddMarine,49_poetry_poems_lyrics_poem
KiddMarine,46_agent_games_environment_instructions
KiddMarine,72_sign_gloss_language_signed
KiddMarine,75_visual_dialogue_multimodal_image
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,83_annotation_tools_linguistic_resources
KiddMarine,50_image_captioning_captions_visual
KiddMarine,54_empathetic_emotion_emotional_empathy
KiddMarine,47_covid_covid 19_19_tweets
KiddMarine,59_metaphor_literal_figurative_metaphors
KiddMarine,24_commonsense_commonsense knowledge_reasoning_knowledge
KiddMarine,72_sign_gloss_language_signed
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,89_reviews_summaries_summarization_review
KiddMarine,34_mt_translation_qe_quality
KiddMarine,47_covid_covid 19_19_tweets
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,54_empathetic_emotion_emotional_empathy
KiddMarine,10_news_fake_fake news_stance
KiddMarine,90_emoji_emojis_sentiment_message
KiddMarine,93_alignment_word alignment_parallel_pairs
KiddMarine,96_agents_emergent_communication_referential
KiddMarine,77_multimodal_visual_image_translation
KiddMarine,96_agents_emergent_communication_referential
KiddMarine,0_dialogue_dialog_response_responses
KiddMarine,76_translation_machine translation_machine_smt
KiddMarine,77_multimodal_visual_image_translation
KiddMarine,46_agent_games_environment_instructions
KiddMarine,0_dialogue_dialog_response_responses
KiddMarine,56_segmentation_word segmentation_chinese_chinese word segmentation
KiddMarine,54_empathetic_emotion_emotional_empathy
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,103_drug_social_social media_media
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,55_depression_mental_health_mental health
ySkiloo,81_crisis_disaster_traffic_tweets
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,85_personality_traits_personality traits_evaluative
ySkiloo,81_crisis_disaster_traffic_tweets
ySkiloo,91_table_table text_tables_table text generation
ySkiloo,54_empathetic_emotion_emotional_empathy
ySkiloo,81_crisis_disaster_traffic_tweets
ySkiloo,54_empathetic_emotion_emotional_empathy
ySkiloo,85_personality_traits_personality traits_evaluative
ySkiloo,54_empathetic_emotion_emotional_empathy
ySkiloo,9_hate_hate speech_offensive_speech
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,85_personality_traits_personality traits_evaluative
ySkiloo,97_graph_amr_graph text_graphs
ySkiloo,55_depression_mental_health_mental health
ySkiloo,98_moral_ethical_norms_values
ySkiloo,49_poetry_poems_lyrics_poem
ySkiloo,78_geographic_location_geolocation_geo
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,9_hate_hate speech_offensive_speech
ySkiloo,9_hate_hate speech_offensive_speech
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,9_hate_hate speech_offensive_speech
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,28_sarcasm_humor_sarcastic_detection
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,54_empathetic_emotion_emotional_empathy
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,81_crisis_disaster_traffic_tweets
ySkiloo,90_emoji_emojis_sentiment_message
ySkiloo,54_empathetic_emotion_emotional_empathy
ySkiloo,47_covid_covid 19_19_tweets
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,49_poetry_poems_lyrics_poem
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,42_story_stories_story generation_generation
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,47_covid_covid 19_19_tweets
MikeRiccardi_,39_authorship_authorship attribution_attribution_author
MikeRiccardi_,39_authorship_authorship attribution_attribution_author
MikeRiccardi_,21_law_frequency_zipf_words
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,45_paraphrase_paraphrases_paraphrase generation_paraphrasing
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,53_simplification_text simplification_ts_sentence
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,98_moral_ethical_norms_values
MikeRiccardi_,39_authorship_authorship attribution_attribution_author
monicasweet2006,75_visual_dialogue_multimodal_image
monicasweet2006,10_news_fake_fake news_stance
monicasweet2006,64_political_media_news_bias
monicasweet2006,28_sarcasm_humor_sarcastic_detection
monicasweet2006,22_legal_court_law_legal domain
monicasweet2006,104_gender_translation_bias_gender bias
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,64_political_media_news_bias
monicasweet2006,10_news_fake_fake news_stance
monicasweet2006,65_medical_qa_question_questions
monicasweet2006,49_poetry_poems_lyrics_poem
monicasweet2006,0_dialogue_dialog_response_responses
monicasweet2006,90_emoji_emojis_sentiment_message
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,78_geographic_location_geolocation_geo
monicasweet2006,64_political_media_news_bias
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,55_depression_mental_health_mental health
monicasweet2006,49_poetry_poems_lyrics_poem
monicasweet2006,104_gender_translation_bias_gender bias
monicasweet2006,64_political_media_news_bias
monicasweet2006,64_political_media_news_bias
monicasweet2006,64_political_media_news_bias
monicasweet2006,65_medical_qa_question_questions
monicasweet2006,28_sarcasm_humor_sarcastic_detection
monicasweet2006,54_empathetic_emotion_emotional_empathy
monicasweet2006,9_hate_hate speech_offensive_speech
monicasweet2006,9_hate_hate speech_offensive_speech
monicasweet2006,9_hate_hate speech_offensive_speech
monicasweet2006,10_news_fake_fake news_stance
monicasweet2006,64_political_media_news_bias
monicasweet2006,103_drug_social_social media_media
monicasweet2006,22_legal_court_law_legal domain
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,47_covid_covid 19_19_tweets
monicasweet2006,9_hate_hate speech_offensive_speech
monicasweet2006,55_depression_mental_health_mental health
monicasweet2006,64_political_media_news_bias
monicasweet2006,9_hate_hate speech_offensive_speech
